0,1,2
https://www.allrecipes.com/recipes/362/desserts/cookies/?page=3,page 3 of 259,https://www.allrecipes.com/recipe/10917/white-chocolate-and-cranberry-cookies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub
https://www.allrecipes.com/recipes/362/desserts/cookies/?page=3,page 3 of 259,https://www.allrecipes.com/recipe/11352/three-ingredient-peanut-butter-cookies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub
https://www.allrecipes.com/recipes/362/desserts/cookies/?page=3,page 3 of 259,https://www.allrecipes.com/recipe/16617/no-bake-cookies-v/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub
https://www.allrecipes.com/recipes/362/desserts/cookies/?page=3,page 3 of 259,https://www.allrecipes.com/recipe/10759/oatmeal-peanut-butter-cookies-iii/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub
https://www.allrecipes.com/recipes/362/desserts/cookies/?page=3,page 3 of 259,https://www.allrecipes.com/recipe/10756/bake-sale-lemon-bars/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub
https://www.allrecipes.com/recipes/362/desserts/cookies/?page=3,page 3 of 259,NO_URL
https://www.allrecipes.com/recipes/362/desserts/cookies/?page=3,page 3 of 259,https://www.allrecipes.com/recipe/9615/healthy-banana-cookies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub
https://www.allrecipes.com/recipes/362/desserts/cookies/?page=3,page 3 of 259,https://www.allrecipes.com/recipe/10331/moms-chocolate-chip-cookies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub
https://www.allrecipes.com/recipes/362/desserts/cookies/?page=3,page 3 of 259,https://www.allrecipes.com/recipe/25100/jam-filled-butter-cookies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub
https://www.allrecipes.com/recipes/362/desserts/cookies/?page=3,page 3 of 259,https://www.allrecipes.com/recipe/40180/cranberry-orange-cookies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub
https://www.allrecipes.com/recipes/362/desserts/cookies/?page=4,page 4 of 259,https://www.allrecipes.com/recipe/16754/best-peanut-butter-cookies-ever/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub
https://www.allrecipes.com/recipes/362/desserts/cookies/?page=4,page 4 of 259,https://www.allrecipes.com/recipe/9832/no-bake-cookies-i/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub
https://www.allrecipes.com/recipes/362/desserts/cookies/?page=4,page 4 of 259,https://www.allrecipes.com/recipe/25091/lemon-square-bars/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub
https://www.allrecipes.com/recipes/362/desserts/cookies/?page=4,page 4 of 259,https://www.allrecipes.com/recipe/68436/vegan-brownies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub
https://www.allrecipes.com/recipes/362/desserts/cookies/?page=4,page 4 of 259,NO_URL
https://www.allrecipes.com/recipes/362/desserts/cookies/?page=4,page 4 of 259,https://www.allrecipes.com/recipe/9330/molasses-sugar-cookies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub
https://www.allrecipes.com/recipes/362/desserts/cookies/?page=4,page 4 of 259,https://www.allrecipes.com/recipe/11063/deep-dish-brownies/?internalSource=hub recipe&referringId=362&referringContentType=Recipe Hub
